Country,State,Year,"Antiretroviral Therapy (Art) Centres (UOM:Number), Scaling Factor:1","Centre Of Excellence (UOM:Number), Scaling Factor:1","Centre Of Excellence_Centre Of Excellence (Adult) (UOM:Number), Scaling Factor:1","Centre Of Excellence_Centre Of Excellence (Paediatric) (UOM:Number), Scaling Factor:1","Link Antiretroviral Therapy (Art) Centres (UOM:Number), Scaling Factor:1","Care Support Centres (UOM:Number), Scaling Factor:1"
India,Gujarat,"Financial Year (Apr - Mar), 2021",44,,1,,66,25
India,Haryana,"Financial Year (Apr - Mar), 2021",15,,,,11,1
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2021",6,,,,5,2
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2021",2.93438058014710057230,,,,3.91250744019613409640,0.97812686004903352410
India,Jharkhand,"Financial Year (Apr - Mar), 2021",13,,,,11,5
India,Karnataka,"Financial Year (Apr - Mar), 2021",70,,1,1,305,36
India,Kerala,"Financial Year (Apr - Mar), 2021",11,,,,14,7
India,Ladakh,"Financial Year (Apr - Mar), 2021",0.06561941985289942770,,,,0.08749255980386590360,0.02187313995096647590
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2021",19,,,,36,11
India,Maharashtra,"Financial Year (Apr - Mar), 2021",95,,1,1,182,44
India,Manipur,"Financial Year (Apr - Mar), 2021",13,,1,1,15,4
India,Meghalaya,"Financial Year (Apr - Mar), 2021",4,,,,2,1
India,Mizoram,"Financial Year (Apr - Mar), 2021",14,,,,4,3
India,Nagaland,"Financial Year (Apr - Mar), 2021",12,,,,8,3
India,Odisha,"Financial Year (Apr - Mar), 2021",16,,,,19,12
India,Puducherry,"Financial Year (Apr - Mar), 2021",1,,,,1,1
India,Punjab,"Financial Year (Apr - Mar), 2021",19,,,,12,8
India,Rajasthan,"Financial Year (Apr - Mar), 2021",35,,,,25,17
India,Sikkim,"Financial Year (Apr - Mar), 2021",1,,,,1,
India,Tamil Nadu,"Financial Year (Apr - Mar), 2021",55,,1,1,174,31
India,Telangana,"Financial Year (Apr - Mar), 2021",23,,1,1,74,13
India,Tripura,"Financial Year (Apr - Mar), 2021",3,,,,3,1
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2021",51,,1,,32,27
India,Uttarakhand,"Financial Year (Apr - Mar), 2021",6,,,,32,2
India,West Bengal,"Financial Year (Apr - Mar), 2021",20,,1,1,52,13
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2020",1,,,,,
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2020",40,,1,,117,23
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2020",1,,,,4,
India,Assam,"Financial Year (Apr - Mar), 2020",7,,,,10,3
India,Bihar,"Financial Year (Apr - Mar), 2020",27,,,,13,15
India,Chandigarh,"Financial Year (Apr - Mar), 2020",2,,1,,4,1
India,Chhattisgarh,"Financial Year (Apr - Mar), 2020",8,,,,22,3
India,Delhi,"Financial Year (Apr - Mar), 2020",12,,1,1,,5
India,Goa,"Financial Year (Apr - Mar), 2020",2,,,,3,1
India,Gujarat,"Financial Year (Apr - Mar), 2020",36,,1,,66,16
India,Haryana,"Financial Year (Apr - Mar), 2020",9,,,,11,1
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2020",6,,,,5,2
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2020",2.93438058014710057230,,,,3.91250744019613409640,0.97812686004903352410
India,Jharkhand,"Financial Year (Apr - Mar), 2020",12,,,,11,5
India,Karnataka,"Financial Year (Apr - Mar), 2020",68,,1,1,305,36
India,Kerala,"Financial Year (Apr - Mar), 2020",10,,,,14,7
India,Ladakh,"Financial Year (Apr - Mar), 2020",0.06561941985289942770,,,,0.08749255980386590360,0.02187313995096647590
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2020",19,,,,36,11
India,Maharashtra,"Financial Year (Apr - Mar), 2020",94,,1,1,182,44
India,Manipur,"Financial Year (Apr - Mar), 2020",13,,1,1,15,4
India,Meghalaya,"Financial Year (Apr - Mar), 2020",4,,,,2,1
India,Mizoram,"Financial Year (Apr - Mar), 2020",12,,,,4,3
India,Nagaland,"Financial Year (Apr - Mar), 2020",12,,,,8,3
India,Odisha,"Financial Year (Apr - Mar), 2020",15,,,,19,12
India,Puducherry,"Financial Year (Apr - Mar), 2020",1,,,,1,1
India,Punjab,"Financial Year (Apr - Mar), 2020",19,,,,12,8
India,Rajasthan,"Financial Year (Apr - Mar), 2020",35,,,,25,17
India,Sikkim,"Financial Year (Apr - Mar), 2020",1,,,,1,
India,Tamil Nadu,"Financial Year (Apr - Mar), 2020",55,,1,1,174,31
India,Telangana,"Financial Year (Apr - Mar), 2020",23,,1,1,74,13
India,Tripura,"Financial Year (Apr - Mar), 2020",3,,,,3,1
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2020",44,,1,,32,27
India,Uttarakhand,"Financial Year (Apr - Mar), 2020",5,,,,32,2
India,West Bengal,"Financial Year (Apr - Mar), 2020",20,,1,1,52,13
